condition_order,condition_label,run,sensor_id,position,direction,target_rpm,actual_speed_mean_rpm,vel_rms_mm_s,vel_rms_relative_to_standard,vel_peak_abs_mm_s,vel_peak_to_peak_mm_s,vel_crest_factor,vel_dominant_10_1000_hz,vel_dominant_10_1000_amp_mm_s,vel_one_x_amp_mm_s,vel_one_x_relative_to_standard,vel_two_x_amp_mm_s,vel_three_x_amp_mm_s,vel_one_to_three_x_energy_ratio,vel_band_10_100_ratio,vel_band_100_1000_ratio,vel_spectral_centroid_hz,vel_spectral_rolloff_85_hz,acc_rms_g,acc_rms_relative_to_standard,front_to_bench_hint
3,振动传感器重新放置,run_20260707_6000rpm_10min_reset,ACC2,FrontBearingOuter,X,6000.0,5999.998520286396,0.02257276284202355,1.0168569507028526,0.09036417738227331,0.17531934917286668,4.003239568620416,100.0,0.024755574802057794,0.024755574802057794,1.147648568458185,0.002887610836930533,0.00391108367501121,0.6292765910458564,0.2620477455368436,0.7316450893167114,256.1001529234785,774.15,0.06811098992285894,0.8967010317715842,front
3,振动传感器重新放置,run_20260707_6000rpm_10min_reset,ACC3,BenchTop,Y,6000.0,5999.998520286396,0.0881225111083178,1.3394618713704642,0.19346093037148565,0.3781808272513907,2.1953633406302813,100.0,0.12438584680811447,0.12438584680811447,1.4034610438631414,0.0021095104674410505,0.004024998748248656,0.97404453112096,0.2490651815915703,0.7499658550281918,102.05276791785685,100.0,0.058377261396062675,0.9458727705342809,bench
4,重新安装刀柄,run_20260707_6000rpm_10min_reset_spindle,ACC1,FrontBearingOuter,Y,6000.0,5999.995324371713,0.04872398319369368,0.9730697269732349,0.16095191775404388,0.3217833443024637,3.3033407206099645,100.0,0.05184153325745733,0.05184153325745733,0.9934379285995267,0.0023974232716515663,0.011201431332145967,0.5992862089266819,0.18756368442249188,0.8074244923762329,302.7486734842632,774.1166666666667,0.0885871545017744,1.0834680632301879,front
4,重新安装刀柄,run_20260707_6000rpm_10min_reset_spindle,ACC2,FrontBearingOuter,X,6000.0,5999.995324371713,0.02190278770385566,0.9866759364950654,0.0983431209335105,0.1768654700511878,4.489981926647568,100.0,0.022559944768604605,0.022559944768604605,1.0458609232548552,0.0021580576684601515,0.004081360862867921,0.5608312467520481,0.2338121193586253,0.7596264261226409,280.97855192754014,774.1166666666667,0.07078158637331226,0.9318602123278974,front
4,重新安装刀柄,run_20260707_6000rpm_10min_reset_spindle,ACC3,BenchTop,Y,6000.0,5999.995324371713,0.06452043236004773,0.9807103540705122,0.14513801392010903,0.2877039506163076,2.2494891712781087,100.0,0.0902617043564088,0.0902617043564088,1.0184340828770857,0.0022371554009318183,0.0042332758389863525,0.9595240505164837,0.20659158914973832,0.7922616628846664,105.11667561132695,100.01666666666667,0.05738990939653217,0.9298749428021381,bench
5,无冷却,run_20260707_6000rpm_10min_wo,ACC1,FrontBearingOuter,Y,6000.0,6000.009734826163,0.04100168447053265,0.8188472144113998,0.16201818228633116,0.3192570656341495,3.951500636584124,774.2666666666667,0.038675520068301134,0.03148001801242627,0.6032507513084001,0.004333778708496312,0.01808580646824101,0.4009340664613095,0.09880081906833084,0.898196673020839,488.0015267141517,774.2666666666667,0.0915931389180533,1.1202328530230534,front
5,无冷却,run_20260707_6000rpm_10min_wo,ACC2,FrontBearingOuter,X,6000.0,6000.009734826163,0.01801808307088415,0.811677911879726,0.08811691857147377,0.17166987676041023,4.890471323992506,774.2666666666667,0.011870111936524846,0.011387992459126988,0.5279381855533932,0.002803570126884413,0.0046328927117572005,0.24529720048553297,0.25682096502174573,0.7340233884044611,411.3967967216889,774.2666666666667,0.05739149549904708,0.7555757637232356,front
5,无冷却,run_20260707_6000rpm_10min_wo,ACC3,BenchTop,Y,6000.0,6000.009734826163,0.04019870845151701,0.611020232763911,0.1458363824050186,0.28897034466114324,3.6278872636146855,100.0,0.05333326814914119,0.05333326814914119,0.6017659252237652,0.002047434192231527,0.0066503311473255985,0.9035028960908611,0.22167410726292405,0.7738852848772902,123.01247556424718,100.01666666666667,0.04724962715506505,0.7655743807620186,bench
6,不加刀柄,run_20260707_6000rpm_10min_wo_load,ACC1,FrontBearingOuter,Y,6000.0,5999.97530588908,0.03212975801467433,0.6416654142328373,0.14756338213326856,0.2931100708470573,4.592732446533624,774.15,0.027500878515639232,0.016290912197104244,0.312182318908555,0.002101531068606333,0.003593575027860655,0.18601165128927497,0.1961871444805957,0.7967812416471095,515.6710042832959,774.15,0.09233180644803786,1.1292671501802938,front
6,不加刀柄,run_20260707_6000rpm_10min_wo_load,ACC2,FrontBearingOuter,X,6000.0,5999.97530588908,0.018284537761209214,0.8236811525020923,0.08253598738192965,0.16212808566937065,4.513977244589162,774.15,0.011998920777122278,0.002678322463313146,0.12416487863716362,0.0028598843178358796,0.003077775798891941,0.061818522585755833,0.22081401603148615,0.7707174985432208,559.0821365303025,800.0,0.07289095146294858,0.959630618460624,front
6,不加刀柄,run_20260707_6000rpm_10min_wo_load,ACC3,BenchTop,Y,6000.0,5999.97530588908,0.024979077791708545,0.37968189811186864,0.11248742894856657,0.1998105247188027,4.503265888619203,100.0,0.027270761696011978,0.027270761696011978,0.3076994100130299,0.0023325006763067068,0.001956582305173383,0.7335291084541012,0.3108768515958809,0.6768385269576027,163.4269657479499,100.06666666666666,0.06334662640233833,1.0263902003327106,bench
